date,open,high,low,close,adj_close,volume
2000-01-05,0.520870,0.520870,0.520870,0.520870,0.093810,986
2000-01-06,0.494490,0.494490,0.494490,0.494490,0.089059,228
2000-01-07,0.494490,0.494490,0.494490,0.494490,0.089059,152
2000-01-10,0.494490,0.494490,0.494490,0.494490,0.089059,1517
2000-01-11,0.494490,0.494490,0.494490,0.494490,0.089059,3792
2000-01-12,0.481310,0.481310,0.481310,0.481310,0.086685,1138
2000-01-13,0.484600,0.484600,0.484600,0.484600,0.087278,607
2000-01-14,0.494490,0.494490,0.494490,0.494490,0.089059,6446
2000-01-17,0.527460,0.527460,0.527460,0.527460,0.094997,25556
2000-01-18,0.494490,0.494490,0.494490,0.494490,0.089059,0
2000-01-19,0.494490,0.494490,0.494490,0.494490,0.089059,0
2000-01-20,0.461530,0.461530,0.461530,0.461530,0.083123,0
2000-01-21,0.474710,0.474710,0.474710,0.474710,0.085497,0
2000-01-24,0.522190,0.522190,0.522190,0.522190,0.094048,0
2000-01-25,0.522190,0.522190,0.522190,0.522190,0.094048,0
2000-01-26,0.524160,0.524160,0.524160,0.524160,0.094403,1744
2000-01-27,0.501090,0.501090,0.501090,0.501090,0.090248,5384
2000-01-28,0.487900,0.487900,0.487900,0.487900,0.087872,0
2000-01-31,0.487900,0.487900,0.487900,0.487900,0.087872,0
2000-02-01,0.487900,0.487900,0.487900,0.487900,0.087872,0
2000-02-02,0.481310,0.481310,0.481310,0.481310,0.086685,0
2000-02-03,0.421970,0.421970,0.421970,0.421970,0.075998,0
2000-02-04,0.468120,0.468120,0.468120,0.468120,0.084310,228
2000-02-07,0.468120,0.468120,0.468120,0.468120,0.084310,4550
2000-02-08,0.468120,0.468120,0.468120,0.468120,0.084310,1896
2000-02-09,0.520870,0.520870,0.520870,0.520870,0.093810,12058
2000-02-10,0.494490,0.494490,0.494490,0.494490,0.089059,0
2000-02-11,0.501090,0.501090,0.501090,0.501090,0.090248,6143
2000-02-14,0.468120,0.468120,0.468120,0.468120,0.084310,0
2000-02-15,0.494490,0.494490,0.494490,0.494490,0.089059,0
2000-02-16,0.468120,0.468120,0.468120,0.468120,0.084310,0
2000-02-17,0.468120,0.468120,0.468120,0.468120,0.084310,0
2000-02-18,0.514270,0.514270,0.514270,0.514270,0.092622,683
2000-02-21,0.468120,0.468120,0.468120,0.468120,0.084310,0
2000-02-22,0.485260,0.485260,0.485260,0.485260,0.087397,76
2000-02-23,0.494490,0.494490,0.494490,0.494490,0.089059,455
2000-02-24,0.487900,0.487900,0.487900,0.487900,0.087872,5005
2000-02-25,0.474710,0.474710,0.474710,0.474710,0.085497,3033
2000-02-28,0.474710,0.474710,0.474710,0.474710,0.085497,0
2000-02-29,0.468120,0.468120,0.468120,0.468120,0.084310,11603
2000-03-01,0.474710,0.474710,0.474710,0.474710,0.085497,0
2000-03-02,0.474710,0.474710,0.474710,0.474710,0.085497,0
2000-03-03,0.512960,0.512960,0.512960,0.512960,0.092386,758
2000-03-06,0.512960,0.512960,0.512960,0.512960,0.092386,0
2000-03-07,0.512960,0.512960,0.512960,0.512960,0.092386,0
2000-03-08,0.494490,0.494490,0.494490,0.494490,0.089059,0
2000-03-09,0.527460,0.527460,0.527460,0.527460,0.094997,1972
2000-03-10,0.494490,0.494490,0.494490,0.494490,0.089059,0
