date,open,high,low,close,adj_close,volume
2007-03-29,7.658310,7.658310,6.717820,6.813790,6.074653,33864225
2007-03-30,6.813790,7.475970,6.285960,7.207260,6.425440,13917019
2007-04-02,7.197660,7.341620,7.053710,7.072900,6.305655,4416017
2007-04-03,7.236050,7.389600,7.053710,7.293630,6.502441,1659497
2007-04-04,7.255240,7.389600,7.178470,7.207260,6.425440,1744316
2007-04-05,7.207260,7.274440,7.168870,7.274440,6.485333,529547
2007-04-09,7.207260,7.389600,7.207260,7.284030,6.493883,943848
2007-04-10,7.274440,7.293630,7.207260,7.216860,6.434000,781400
2007-04-11,7.130480,7.255240,6.996130,7.140080,6.365548,1991376
2007-04-12,7.101690,7.485570,7.082500,7.370410,6.570892,2888646
2007-04-13,7.389600,7.581540,7.312820,7.380000,6.579443,2791219
2007-04-16,7.389600,7.571940,7.351210,7.389600,6.588001,3338792
2007-04-17,7.475970,7.475970,7.322420,7.427990,6.622226,1197681
2007-04-18,7.303230,7.437580,7.303230,7.399200,6.596560,2099223
2007-04-19,7.389600,7.485570,7.159270,7.408790,6.605109,1202474
2007-04-20,7.389600,7.677510,7.360810,7.677510,6.844679,1432236
2007-04-23,7.591130,7.677510,7.504760,7.581540,6.759120,885808
2007-04-24,7.523960,7.629520,7.523960,7.533550,6.716334,1304069
2007-04-25,7.581540,7.677510,7.533550,7.629520,6.801895,1085144
2007-04-26,7.581540,7.629520,7.399200,7.399200,6.596560,1596977
2007-04-27,7.370410,7.677510,7.216860,7.533550,6.716334,3645246
2007-04-30,7.485570,7.591130,7.485570,7.485570,6.673559,452960
2007-05-02,7.495170,7.629520,7.485570,7.533550,6.716334,1140058
2007-05-03,7.495170,7.629520,7.485570,7.485570,6.673559,1143288
2007-05-04,7.533550,7.639120,7.380000,7.552750,6.733452,1333350
2007-05-07,7.677510,7.687100,7.629520,7.658310,6.827562,457961
2007-05-08,7.677510,7.725490,7.437580,7.571940,6.750561,1449846
2007-05-09,7.658310,7.725490,7.437580,7.571940,6.750561,1450367
2007-05-10,7.437580,7.475970,6.996130,7.207260,6.425440,980318
2007-05-11,7.197660,7.332020,7.197660,7.332020,6.536666,307808
2007-05-14,7.332020,7.389600,7.101690,7.293630,6.502441,1007619
2007-05-15,7.245650,7.370410,7.207260,7.293630,6.502441,977505
2007-05-16,7.274440,7.341620,7.072900,7.236050,6.451108,421491
2007-05-17,7.188070,7.236050,6.919350,7.236050,6.451108,1968764
2007-05-18,7.264840,7.332020,6.967340,7.092100,6.322773,2267611
2007-05-21,7.053710,7.092100,6.746610,6.813790,6.074653,2649715
2007-05-22,6.804190,6.890560,6.765800,6.823380,6.083202,1093688
2007-05-23,6.852170,6.852170,6.650640,6.679430,5.954867,798697
2007-05-24,6.698620,6.842580,6.689030,6.727410,5.997643,405965
